Initial State,Search Algorithm,Heuristic,Found Solution,Time,Max Frontier Size
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",Greedy,heuristic_manhattan,True,0.002166748046875,87
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",Greedy,heuristic_misplaced_tiles,True,0.011690855026245117,479
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",Greedy,heuristic_euclidean,True,0.007277011871337891,225
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",A*,heuristic_manhattan,True,0.011754035949707031,361
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",A*,heuristic_misplaced_tiles,True,0.10111308097839355,3052
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",A*,heuristic_euclidean,True,0.028894901275634766,656
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",Greedy,heuristic_manhattan,True,0.00043892860412597656,19
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",Greedy,heuristic_misplaced_tiles,True,0.008786916732788086,354
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",Greedy,heuristic_euclidean,True,0.007984161376953125,257
"[[2, 0, 6], [8, 1, 7], [5, 4, 3]]",A*,heuristic_manhattan,True,0.07085990905761719,1922
"[[2, 0, 6], [8, 1, 7], [5, 4, 3]]",A*,heuristic_misplaced_tiles,True,0.5797247886657715,13926
"[[2, 0, 6], [8, 1, 7], [5, 4, 3]]",A*,heuristic_euclidean,True,0.16222000122070312,3383
"[[2, 0, 6], [8, 1, 7], [5, 4, 3]]",Greedy,heuristic_manhattan,True,0.004039287567138672,165
"[[2, 0, 6], [8, 1, 7], [5, 4, 3]]",Greedy,heuristic_misplaced_tiles,True,0.0020749568939208984,93
"[[2, 0, 6], [8, 1, 7], [5, 4, 3]]",Greedy,heuristic_euclidean,True,0.009240150451660156,287
"[[8, 6, 1], [2, 4, 5], [0, 3, 7]]",A*,heuristic_manhattan,True,0.020778894424438477,591
"[[8, 6, 1], [2, 4, 5], [0, 3, 7]]",A*,heuristic_misplaced_tiles,True,0.4021449089050293,10415
"[[8, 6, 1], [2, 4, 5], [0, 3, 7]]",A*,heuristic_euclidean,True,0.046890974044799805,1084
"[[8, 6, 1], [2, 4, 5], [0, 3, 7]]",Greedy,heuristic_manhattan,True,0.000576019287109375,25
"[[8, 6, 1], [2, 4, 5], [0, 3, 7]]",Greedy,heuristic_misplaced_tiles,True,0.014950990676879883,611
"[[8, 6, 1], [2, 4, 5], [0, 3, 7]]",Greedy,heuristic_euclidean,True,0.015021085739135742,278
"[[6, 1, 4], [2, 5, 0], [3, 7, 8]]",A*,heuristic_manhattan,True,0.029870033264160156,846
"[[6, 1, 4], [2, 5, 0], [3, 7, 8]]",A*,heuristic_misplaced_tiles,True,0.5704193115234375,14038
"[[6, 1, 4], [2, 5, 0], [3, 7, 8]]",A*,heuristic_euclidean,True,0.12186312675476074,2565
"[[6, 1, 4], [2, 5, 0], [3, 7, 8]]",Greedy,heuristic_manhattan,True,0.006310939788818359,246
"[[6, 1, 4], [2, 5, 0], [3, 7, 8]]",Greedy,heuristic_misplaced_tiles,True,0.011872053146362305,476
"[[6, 1, 4], [2, 5, 0], [3, 7, 8]]",Greedy,heuristic_euclidean,True,0.007924079895019531,249
"[[5, 6, 0], [4, 1, 2], [3, 8, 7]]",A*,heuristic_manhattan,True,0.012166261672973633,377
"[[5, 6, 0], [4, 1, 2], [3, 8, 7]]",A*,heuristic_misplaced_tiles,True,0.13457083702087402,4048
"[[5, 6, 0], [4, 1, 2], [3, 8, 7]]",A*,heuristic_euclidean,True,0.036046743392944336,684
"[[5, 6, 0], [4, 1, 2], [3, 8, 7]]",Greedy,heuristic_manhattan,True,0.004737138748168945,190
"[[5, 6, 0], [4, 1, 2], [3, 8, 7]]",Greedy,heuristic_misplaced_tiles,True,0.015630006790161133,618
"[[5, 6, 0], [4, 1, 2], [3, 8, 7]]",Greedy,heuristic_euclidean,True,0.007089853286743164,222
"[[7, 6, 4], [1, 0, 5], [8, 2, 3]]",A*,heuristic_manhattan,True,0.03011918067932129,854
"[[7, 6, 4], [1, 0, 5], [8, 2, 3]]",A*,heuristic_misplaced_tiles,True,0.47037482261657715,12212
"[[7, 6, 4], [1, 0, 5], [8, 2, 3]]",A*,heuristic_euclidean,True,0.10804486274719238,2213
"[[7, 6, 4], [1, 0, 5], [8, 2, 3]]",Greedy,heuristic_manhattan,True,0.005029916763305664,195
"[[7, 6, 4], [1, 0, 5], [8, 2, 3]]",Greedy,heuristic_misplaced_tiles,True,0.013890981674194336,569
"[[7, 6, 4], [1, 0, 5], [8, 2, 3]]",Greedy,heuristic_euclidean,True,0.008034944534301758,259
"[[2, 7, 0], [1, 4, 8], [3, 5, 6]]",A*,heuristic_manhattan,True,0.03406405448913574,959
"[[2, 7, 0], [1, 4, 8], [3, 5, 6]]",A*,heuristic_misplaced_tiles,True,1.0429208278656006,20481
"[[2, 7, 0], [1, 4, 8], [3, 5, 6]]",A*,heuristic_euclidean,True,0.17523598670959473,3747
"[[2, 7, 0], [1, 4, 8], [3, 5, 6]]",Greedy,heuristic_manhattan,True,0.001995086669921875,76
"[[2, 7, 0], [1, 4, 8], [3, 5, 6]]",Greedy,heuristic_misplaced_tiles,True,0.0011949539184570312,56
"[[2, 7, 0], [1, 4, 8], [3, 5, 6]]",Greedy,heuristic_euclidean,True,0.007803916931152344,244
"[[4, 5, 7], [8, 2, 6], [3, 0, 1]]",A*,heuristic_manhattan,True,0.034201860427856445,787
"[[4, 5, 7], [8, 2, 6], [3, 0, 1]]",A*,heuristic_misplaced_tiles,True,0.6831932067871094,15022
"[[4, 5, 7], [8, 2, 6], [3, 0, 1]]",A*,heuristic_euclidean,True,0.08985090255737305,1987
"[[4, 5, 7], [8, 2, 6], [3, 0, 1]]",Greedy,heuristic_manhattan,True,0.00458979606628418,181
"[[4, 5, 7], [8, 2, 6], [3, 0, 1]]",Greedy,heuristic_misplaced_tiles,True,0.02387714385986328,950
"[[4, 5, 7], [8, 2, 6], [3, 0, 1]]",Greedy,heuristic_euclidean,True,0.0009570121765136719,32
